Dấu thời gian,Bạn là ai,Họ Tên,Tuổi,Địa Điểm Sinh Sống,Kỹ năng bạn có,Thời gian rảnh để tham gia tình nguyện,Lĩnh vực mà bạn quan tâm,Tên hoạt động tình nguyện  ,Mô tả công việc,Kỹ năng yêu cầu,Địa điểm,Thời gian thực hiện,Lĩnh vực hoạt động,"Sự kiện mà bạn từng tham gia? (Chưa tham gia vui lòng nhập ""Chưa tham gia"")"
27/10/2025 19:11:36,Tình Nguyện Viên,,28,Đà Nẵng,"Biên tập nội dung, viết bài",Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 19:12:54,Tình Nguyện Viên,,33,Huế,"Thiết Kế, Truyền Thông",Buổi Sáng,Phát triển cá nhân,,,,,,,
27/10/2025 19:13:33,Tình Nguyện Viên,,20,Hà Nội,"Ngoại Ngữ / Dịch Thuật, Kỹ năng mềm",Buổi Sáng,Giáo Dục,,,,,,,
27/10/2025 19:14:51,Tình Nguyện Viên,,23,Thái Nguyên,"Thiết Kế, Đồ họa 2D",Buổi Tối,Nghệ Thuật,,,,,,,
27/10/2025 19:15:24,Tình Nguyện Viên,LilPogba,27,Hồ Chí Minh,CNTT / Lập Trình,Cuối Tuần,Công Nghệ,,,,,,,
27/10/2025 19:16:02,Tình Nguyện Viên,,34,Huế,Y Tế / Chăm Sóc,Online (Linh Hoạt),Sức Khỏe / Y Tế,,,,,,,
27/10/2025 19:16:33,Tình Nguyện Viên,,28,Huế,Tổ Chức Sự Kiện / Quản Lý,Buổi Sáng,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 19:16:59,Tình Nguyện Viên,,22,Hà Nội,Ngoại Ngữ / Dịch Thuật,Cuối Tuần,Phiên Dịch / Ngôn Ngữ,,,,,,,
27/10/2025 19:17:49,Tình Nguyện Viên,,26,Hồ Chí Minh,Y Tế / Chăm Sóc,Online (Linh Hoạt),Sức Khỏe / Y Tế,,,,,,,
27/10/2025 19:18:20,Tình Nguyện Viên,,20,Bắc Ninh,CNTT / Lập Trình,Buổi Sáng,Công Nghệ,,,,,,,
27/10/2025 19:19:40,Tình Nguyện Viên,,25,Cần Thơ,"Marketing, Truyền Thông",Buổi Tối,Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 19:20:13,Tình Nguyện Viên,,29,Thái Nguyên,Tổ Chức Sự Kiện / Quản Lý,Online (Linh Hoạt),Cộng Đồng / Xã Hội,,,,,,,
27/10/2025 19:30:23,Tình Nguyện Viên,,19,Hà Nội,"Nấu ăn, phục vụ",Cuối Tuần,Ẩm thực,,,,,,,
27/10/2025 19:31:05,Tình Nguyện Viên,,26,Thái Nguyên,Thiết Kế,Online (Linh Hoạt),Nghệ Thuật,,,,,,,
27/10/2025 19:31:39,Tình Nguyện Viên,,22,Hồ Chí Minh,CNTT / Lập Trình,Cuối Tuần,Công Nghệ,,,,,,,
27/10/2025 19:32:39,Tình Nguyện Viên,,30,Hà Nội,"Giao Tiếp, Hướng dẫn du lịch",Buổi Sáng,Du lịch,,,,,,,
27/10/2025 19:33:17,Tình Nguyện Viên,,24,Huế,"Viết nội dung, truyền thông",Online (Linh Hoạt),Truyền Thông,,,,,,,
27/10/2025 19:34:49,Tình Nguyện Viên,,21,Hà Nội,"Quay phim, dựng video",Online (Linh Hoạt),Phim ảnh,,,,,,,
27/10/2025 19:39:04,Tình Nguyện Viên,,28,Hải Phòng,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
27/10/2025 19:39:59,Tình Nguyện Viên,,19,Hà Nội,Giao Tiếp,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 21:08:50,Tình Nguyện Viên,,19,Hà Nội,Nấu ăn,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 21:09:28,Tình Nguyện Viên,,26,Đà Nẵng,Thiết Kế,Online (Linh Hoạt),Nghệ thuật,,,,,,,
28/10/2025 21:10:00,Tình Nguyện Viên,,22,Hồ Chí Minh,CNTT / Lập Trình,Buổi Sáng,Công Nghệ,,,,,,,
28/10/2025 21:10:41,Tình Nguyện Viên,,30,Cần Thơ,"Giao Tiếp, Hướng dẫn du lịch",Buổi Sáng,Du lịch,,,,,,,
28/10/2025 21:11:13,Tình Nguyện Viên,,24,Huế,"Viết nội dung, truyền thông",Buổi Tối,Truyền Thông,,,,,,,
28/10/2025 21:12:50,Tình Nguyện Viên,,21,Hà Nội,"quay phim, dựng video",Online (Linh Hoạt),Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 21:31:00,Tình Nguyện Viên,,28,Thái Nguyên,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
28/10/2025 21:31:52,Tình Nguyện Viên,,25,Hải Phòng,Tổ Chức Sự Kiện / Quản Lý,Buổi Chiều,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 21:32:34,Tình Nguyện Viên,,23,Nha Trang,"Giao Tiếp, Tư Vấn",Buổi Tối,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 21:33:13,Tình Nguyện Viên,,18,Huế,"Thủ Công, Sáng Tạo",Buổi Sáng,Nghệ Thuật,,,,,,,
28/10/2025 21:35:32,Tình Nguyện Viên,,22,Hồ Chí Minh,"Tổ Chức Sự Kiện / Quản Lý, Kỹ Thuật Điện Tử",Online (Linh Hoạt),Khoa Học,,,,,,,
28/10/2025 22:29:32,Tình Nguyện Viên,,22,Hồ Chí Minh,"Nghiên Cứu, Thống kê",Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 22:30:25,Tình Nguyện Viên,,27,Thái Nguyên,Y Tế / Chăm Sóc,Cuối Tuần,Sức Khỏe / Y Tế,,,,,,,
28/10/2025 22:31:07,Tình Nguyện Viên,,20,Hồ Chí Minh,"Phân tích tài chính, Kế toán",Buổi Tối,Kinh Tế,,,,,,,
28/10/2025 22:31:36,Tình Nguyện Viên,,24,Hà Nội,Tổ Chức Sự Kiện / Quản Lý,Buổi Sáng,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 22:32:04,Tình Nguyện Viên,,29,Huế,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
28/10/2025 22:32:49,Tình Nguyện Viên,,33,Huế,Giáo Dục / Giảng Dạy,Cuối Tuần,Giáo Dục,,,,,,,
28/10/2025 22:33:30,Tình Nguyện Viên,,26,Bắc Ninh,Thiết Kế,Buổi Chiều,Môi Trường,,,,,,,
28/10/2025 22:34:13,Tình Nguyện Viên,,23,Hà Nội,CNTT / Lập Trình,Online (Linh Hoạt),Trí Tuệ Nhân Tạo,,,,,,,
28/10/2025 22:35:28,Tình Nguyện Viên,,27,Đà Nẵng,Marketing,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 22:36:22,Tình Nguyện Viên,,27,Hà Nội,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
28/10/2025 22:36:50,Tình Nguyện Viên,,21,Hồ Chí Minh,Thiết Kế,Buổi Tối,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 22:37:13,Tình Nguyện Viên,,34,Bắc Ninh,Ngoại Ngữ / Dịch Thuật,Online (Linh Hoạt),Phiên Dịch / Ngôn Ngữ,,,,,,,
28/10/2025 22:37:38,Tình Nguyện Viên,,25,Huế,Giáo Dục / Giảng Dạy,Online (Linh Hoạt),Giáo Dục,,,,,,,
28/10/2025 22:38:32,Tình Nguyện Viên,Kamikazi,22,Hà Nội,CNTT / Lập Trình,Cuối Tuần,Công Nghệ,,,,,,,
28/10/2025 22:39:24,Tình Nguyện Viên,,22,Lào Cai,Giáo Dục / Giảng Dạy,Cuối Tuần,Giáo Dục,,,,,,,
28/10/2025 22:39:52,Tình Nguyện Viên,,26,Hà Nội,"Tổ Chức Sự Kiện / Quản Lý, Truyền Thông",Buổi Sáng,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 22:40:25,Tình Nguyện Viên,,28,Hải Phòng,"Làm video, chỉnh sửa ảnh",Online (Linh Hoạt),Nghệ thuật,,,,,,,
28/10/2025 22:40:49,Tình Nguyện Viên,,24,Bắc Ninh,CNTT / Lập Trình,Buổi Tối,Công Nghệ,,,,,,,
28/10/2025 22:44:41,Tình Nguyện Viên,,30,Phú Thọ,"Thiết Kế, Quảng cáo",Buổi Sáng,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 22:45:24,Tình Nguyện Viên,,20,Thanh Hóa,Tổ Chức Sự Kiện / Quản Lý,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 22:45:50,Tình Nguyện Viên,,23,Nghệ An,"Kế toán, Tài Chính",Buổi Sáng,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 22:46:20,Tình Nguyện Viên,,25,Hà Tĩnh,Truyền Thông,Buổi Tối,Kinh Tế,,,,,,,
28/10/2025 22:47:05,Tình Nguyện Viên,,27,Quảng Trị,"Giao Tiếp, Hướng dẫn du lịch",Online (Linh Hoạt),Giáo Dục,,,,,,,
28/10/2025 22:47:37,Tình Nguyện Viên,,29,Huế,"Thiết Kế, Marketing",Buổi Sáng,Nghệ thuật,,,,,,,
28/10/2025 22:48:59,Tình Nguyện Viên,,18,Đà Nẵng,CNTT / Lập Trình,Buổi Tối,Công Nghệ,,,,,,,
28/10/2025 22:49:51,Tình Nguyện Viên,,21,Đà Nẵng,"Chụp ảnh, quay phim",Buổi Sáng,Nghệ thuật,,,,,,,
28/10/2025 22:50:57,Tình Nguyện Viên,,24,Quảng Ngãi,Viết nội dung,Online (Linh Hoạt),Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 22:51:28,Tình Nguyện Viên,,28,Gia Lai,Tổ Chức Sự Kiện / Quản Lý,Cuối Tuần,Truyền Thông,,,,,,,
28/10/2025 22:53:14,Tình Nguyện Viên,,32,Hồ Chí Minh,Tổ Chức Sự Kiện / Quản Lý,Buổi Sáng,Du lịch,,,,,,,
28/10/2025 22:54:12,Tình Nguyện Viên,,23,Khánh Hòa,Y Tế / Chăm Sóc,Cuối Tuần,Sức Khỏe / Y Tế,,,,,,,
28/10/2025 22:55:05,Tình Nguyện Viên,,25,Ninh Thuận,Thiết Kế,Cuối Tuần,Sức Khỏe / Y Tế,,,,,,,
28/10/2025 22:57:56,Tình Nguyện Viên,,29,Bình Thuận,Y Tế / Chăm Sóc,Online (Linh Hoạt),Sức Khỏe / Y Tế,,,,,,,
28/10/2025 22:58:35,Tình Nguyện Viên,,20,Lâm Đồng,"Ngoại Ngữ / Dịch Thuật, hướng dẫn viên",Buổi Tối,Du Lịch,,,,,,,
28/10/2025 22:59:22,Tình Nguyện Viên,,34,Lâm Đồng,CNTT / Lập Trình,Buổi Sáng,Nông Nghiệp,,,,,,,
28/10/2025 23:00:08,Tình Nguyện Viên,,27,Hồ Chí Minh,Ngoại Ngữ / Dịch Thuật,Cuối Tuần,Du Lịch,,,,,,,
28/10/2025 23:01:16,Tình Nguyện Viên,,19,Gia Lai,chăm sóc môi trường,Buổi Sáng,Môi Trường,,,,,,,
28/10/2025 23:01:55,Tình Nguyện Viên,,22,Quảng Ngãi,Giáo Dục / Giảng Dạy,Buổi Sáng,Giáo Dục,,,,,,,
28/10/2025 23:02:22,Tình Nguyện Viên,,26,Lâm Đồng,"Thiết Kế, Truyền Thông",Cuối Tuần,Môi Trường,,,,,,,
28/10/2025 23:02:51,Tình Nguyện Viên,,30,Lâm Đồng,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
28/10/2025 23:03:29,Tình Nguyện Viên,,35,Đồng Lai,Tổ Chức Sự Kiện / Quản Lý,Buổi Tối,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 23:12:47,Tình Nguyện Viên,,21,Cần Thơ,Nấu Ăn,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 23:13:37,Tình Nguyện Viên,,25,An Giang,"Viết Bài, Chụp ảnh sự kiện",Buổi Sáng,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 23:14:02,Tình Nguyện Viên,,27,An Giang,CNTT / Lập Trình,Online (Linh Hoạt),Công Nghệ,,,,,,,
28/10/2025 23:14:46,Tình Nguyện Viên,,33,Cần Thơ,"kế toán, quản lý quỹ",Buổi Tối,Cộng Đồng / Xã Hội,,,,,,,
28/10/2025 23:15:42,Tình Nguyện Viên,,29,Cà Mau,Tổ Chức Sự Kiện / Quản Lý,Buổi Sáng,Giáo Dục,,,,,,,
29/10/2025 21:41:47,Tình Nguyện Viên,,25,Hồ Chí Minh,"marketing, truyền thông",cuối tuần,du lịch,,,,,,,
29/10/2025 22:02:27,Tình Nguyện Viên,,21,Hà Nội,Thiết Kế,Cuối Tuần,Cộng Đồng / Xã Hội,,,,,,,
30/10/2025 18:01:56,Tình Nguyện Viên,,39,Bình Dương,thiết kế,cuối tuần,"truyền thông, nghệ thuật",,,,,,,
30/10/2025 18:54:34,Tình Nguyện Viên,,27,Hải Phòng,"chăm sóc, sơ cứu, hỗ trợ bệnh nhân",ban ngày,"sức khỏe, cộng đồng",,,,,,,
30/10/2025 18:54:48,Tình Nguyện Viên,,20,Nghệ An,"dạy học, hỗ trợ học sinh",cuối tuần,"cộng đồng, trẻ em",,,,,,,
30/10/2025 18:55:02,Tình Nguyện Viên,,38,Đồng Nai,"giao tiếp, dạy học",cuối tuần,"cộng đồng, trẻ em",,,,,,,
30/10/2025 18:55:17,Tình Nguyện Viên,,29,Bà Rịa - Vũng Tàu,"hỗ trợ học sinh, tổ chức lớp học, dạy học",ban ngày,"trẻ em, giáo dục",,,,,,,
30/10/2025 18:55:31,Tình Nguyện Viên,,23,Nghệ An,quản trị hệ thống,online,đổi mới,,,,,,,
30/10/2025 18:55:47,Tình Nguyện Viên,,39,Bình Dương,"giao tiếp, ngoại ngữ",linh hoạt,văn hóa,,,,,,,
30/10/2025 18:56:05,Tình Nguyện Viên,,29,TP. Hồ Chí Minh,"kế toán, bán hàng",ban ngày,kinh doanh,,,,,,,
30/10/2025 18:56:19,Tình Nguyện Viên,,35,Bình Dương,"bảo tồn, làm vườn",cuối tuần,môi trường,,,,,,,
30/10/2025 18:56:35,Tình Nguyện Viên,,21,Khánh Hòa,MC,cuối tuần,truyền thông,,,,,,,
30/10/2025 18:56:51,Tình Nguyện Viên,,31,Quảng Nam,"y tế, hỗ trợ bệnh nhân, sơ cứu",ban ngày,sức khỏe,,,,,,,
30/10/2025 18:57:06,Tình Nguyện Viên,,21,Long An,trồng cây,cuối tuần,"môi trường, thiện nguyện",,,,,,,
30/10/2025 18:57:20,Tình Nguyện Viên,,29,Đắk Lắk,ngoại ngữ,cuối tuần,"du lịch, văn hóa",,,,,,,
30/10/2025 18:57:34,Tình Nguyện Viên,,37,Bình Dương,"giao tiếp, dạy học, tổ chức lớp học",ban ngày,"giáo dục, cộng đồng",,,,,,,
30/10/2025 18:57:49,Tình Nguyện Viên,,31,Lào Cai,"hỗ trợ bệnh nhân, chăm sóc",ban ngày,sức khỏe,,,,,,,
30/10/2025 18:58:04,Tình Nguyện Viên,,33,Bà Rịa - Vũng Tàu,"lập trình, quản trị hệ thống, thiết kế UI",buổi tối,khoa học,,,,,,,
30/10/2025 18:58:18,Tình Nguyện Viên,,18,Phú Yên,quay phim,linh hoạt,nghệ thuật,,,,,,,
